gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76881.50201623447	3.06973550878289	0.15495853531979947	19.8100446835513	2.4386760701968386e-87	5.584568200750761e-85
ENSG00000154734	22847.26805614589	3.4401789195271903	0.17853234521075736	19.269219342108908	9.739405183084885e-83	1.1151618934632193e-80
ENSG00000154723	7339.2131138162695	2.580124585135928	0.16360244776496272	15.770696712573821	4.950070615347977e-56	3.7785539030489557e-54
ENSG00000180509	30210.99113144127	2.9415579143563626	0.1999109361624898	14.714342150673698	5.2150909862186195e-49	2.9856395896101595e-47
ENSG00000183145	9987.890642711407	2.889349238870334	0.24838635720878355	11.632479623032047	2.8179112143589586e-31	1.2906033361764028e-29
ENSG00000276289	11788.654003832307	2.8585409896115417	0.4639218019673252	6.161687115133411	7.197395658807912e-10	2.7470060097783528e-8
ENSG00000277277	724.3339465337184	0.9259347259489638	0.26416903687168986	3.5050842328607255	4.5646283968235645e-4	0.014932855755322804
ENSG00000185437	2256.557368349339	0.5144131666590176	0.19073048656736896	2.697068391724146	0.006995290169298839	0.20024018109617928
ENSG00000160188	1876.2478145510436	-0.5393071508238928	0.218779074999846	-2.465076474175021	0.013698401147165893	0.3395061643344521
ENSG00000154719	1373.9700333505539	-0.5912940903515244	0.2426706443009333	-2.4366115318763764	0.014825596695827602	0.3395061643344521
ENSG00000157557	3474.041793451422	-0.4924749496052219	0.20951115629645423	-2.3505905762286923	0.018743645169126244	0.3902086130663554
ENSG00000160207	885.3305127237986	0.6306776662122725	0.2747266394215747	2.295655301357515	0.0216955980939	0.39874229051413146
ENSG00000177692	2181.2051564647986	0.45706946466245424	0.20051105822083667	2.2795224797978575	0.02263602522569305	0.39874229051413146
ENSG00000186930	103.4698104286162	-1.1294371463148734	0.5655470106314167	-1.9970703143738482	0.045817545186910245	0.7261694895729388
ENSG00000205929	1354.5816600382968	0.4703875001168452	0.23742216971164015	1.981228209177567	0.04756568708993049	0.7261694895729388
ENSG00000184012	5522.047039828579	-0.3955433114483192	0.20777184395731144	-1.9037387545618891	0.056944216469771033	0.7885465329989685
ENSG00000183036	968.7756276236717	-0.5322572248586658	0.2813727845675771	-1.8916443026878245	0.058538388912587176	0.7885465329989685
ENSG00000141959	16794.01264153108	2.0512736701756658	1.1107068485825133	1.8468182426294624	0.06477348703213864	0.8240626961310972
ENSG00000187175	207.62795619714194	0.7772536818886197	0.4425080125115997	1.756473690672991	0.079007559881782	0.8880467043098481
ENSG00000166265	1222.5238035824857	0.5284770391592047	0.3015837351471263	1.7523393259301254	0.07971547768899946	0.8880467043098481
ENSG00000159128	2810.0009641224406	0.34402373356190946	0.1977941361411165	1.7393019847487554	0.0819816584014177	0.8880467043098481
ENSG00000244624	102.05318005397962	0.9840137770937102	0.576427201669914	1.7070911543435403	0.0878051109926661	0.8880467043098481
ENSG00000154721	3847.747112298125	-0.32635247459120154	0.19621572782152727	-1.6632330048896145	0.09626580336125422	0.8880467043098481
ENSG00000274391	3083.1318385235318	0.28588515093020117	0.1729598993918469	1.652898457592867	0.09835153111319349	0.8880467043098481
ENSG00000197683	369.23226436448687	-0.6858902569694719	0.42177011018750216	-1.6262182653591846	0.10390323190864818	0.8880467043098481
ENSG00000184221	1251.1387315462528	-0.4640526850200159	0.28570278722851905	-1.6242497650148715	0.1043225137707213	0.8880467043098481
ENSG00000142173	5507.672950023732	-0.3158082767580505	0.1957423797735576	-1.6133873365767282	0.10666038262179041	0.8880467043098481
ENSG00000154727	3764.7648453316924	0.27186138028549445	0.17016162480473496	1.597665634642727	0.11011741073901646	0.8880467043098481
ENSG00000212938	216.07050727755527	-0.7150651470458246	0.4505107344241127	-1.5872322064864701	0.11246006299120348	0.8880467043098481
