gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76937.7875469963	3.0724280831610047	0.15505855952629935	19.814630630822368	2.2263570891915237e-87	5.098357734248589e-85
ENSG00000154734	22865.83132275067	3.4424531321086045	0.17921793171504233	19.20819584940935	3.160603808979144e-82	3.61889136128112e-80
ENSG00000154723	7344.083498446636	2.582755534678904	0.16374997254472776	15.772555528053191	4.806496163631825e-56	3.668958738238959e-54
ENSG00000180509	30232.629599678356	2.944223217985264	0.19987284522113305	14.730481345416722	4.107696139568976e-49	2.3516560399032387e-47
ENSG00000183145	9994.94040215163	2.891550619215301	0.248716032140148	11.625911664536174	3.0432703284987665e-31	1.393817810452435e-29
ENSG00000276289	11795.834728658927	2.8605067027627116	0.4650448957500536	6.151033435490366	7.697968688019604e-10	2.9380580492608152e-8
ENSG00000277277	724.5131149378341	0.9287187876971492	0.26400435250373816	3.517816198443164	4.351136251229895e-4	0.014234431450452086
ENSG00000185437	2256.973431017535	0.5174126668713692	0.1911127356545941	2.7073688474980044	0.00678188614515972	0.194131490905197
ENSG00000160188	1876.1383781885354	-0.5369541871095483	0.21912876883586543	-2.4504048006208827	0.014269569085617002	0.3472735649306317
ENSG00000154719	1373.411354623425	-0.5881661274739591	0.2422011882667413	-2.4284196608738324	0.015164784494787411	0.3472735649306317
ENSG00000157557	3474.125551657537	-0.49029300338980264	0.21005324553224905	-2.3341367668348116	0.019588561643674177	0.3802950217106866
ENSG00000160207	885.4289709350094	0.6335723399518627	0.2744686515699838	2.308359575229359	0.020979145431506287	0.3802950217106866
ENSG00000177692	2181.343368061843	0.459973626849635	0.20020391182103608	2.29752567103089	0.021588800359121942	0.3802950217106866
ENSG00000205929	1354.6166845237647	0.4734398295583808	0.23702381818597154	1.997435672000333	0.04577787596671409	0.7075816422428612
ENSG00000186930	103.41825470676787	-1.1262307570802332	0.5653176024700561	-1.9922088966615676	0.046348142504990905	0.7075816422428612
ENSG00000184012	5521.785873827375	-0.39312283064548026	0.20805560812150098	-1.8895084549506742	0.05882373093175668	0.8058665005676261
ENSG00000183036	968.6101037361414	-0.5295924257820642	0.2813856718605318	-1.8820873937197327	0.05982415069716002	0.8058665005676261
ENSG00000141959	16728.506099590508	2.04334587782676	1.1082407961783725	1.8437742816118832	0.06521604229345773	0.8296929825112123
ENSG00000166265	1222.5621754484343	0.5315585291715749	0.3013141138041462	1.764134186947138	0.077709389895626	0.864267102326089
ENSG00000187175	207.7193581380047	0.7791906888273475	0.44274425276875556	1.7599114702327199	0.0784228182074894	0.864267102326089
